requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate via redundant mil-std-1553b serial interface,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate to s/c via dual redundant mil-std-1553b serial interface,NN,O,TN ,0
6,scientist,NNS,PERSON,PERSON,collect science datum in,IN,TV,FALSE,form,NN,O,TN ,0
6,scientist,NNS,PERSON,PERSON,collect,VBZ,TV,TRUE,science datum,NNS,O,TN ,1
6,Swift,NNP,O,NON-PERSON,shall allow,VB,TV,FALSE,scientist,NNS,O,TN ,0
6,scientist,NNS,PERSON,PERSON,collect science datum in,IN,TV,FALSE,form of image,NNS,O,TN ,0
7,telecommand,NNS,O,NON-PERSON,will control,VB,TV,FALSE,temperature setpoint,NN,O,TN ,0
7,Swift,NNP,O,NON-PERSON,shall cool ccd by,IN,OTHER,FALSE,tec,NN,O,TN ,0
7,Swift,NNP,O,NON-PERSON,shall cool,VB,TV,FALSE,CCD,NNP,O,OTHER ,0
9,scientist,NNS,PERSON,PERSON,communicate with,IN,TV,FALSE,xrt,NN,O,OTHER ,1
9,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network allow,VB,O,TN ,0
10,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Time clock allow,VB,O,TN ,0
10,scientist,NNS,PERSON,PERSON,make packet format as,IN,TV,FALSE,Consultative Committee,NNP,ORGANIZATION,TN ,0
10,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,real Time clock allow,VB,O,TN ,0
10,scientist,NNS,PERSON,PERSON,make,VB,TV,FALSE,packet format,NN,O,TN ,1
10,scientist,NNS,PERSON,PERSON,make packet format as,IN,TV,FALSE,Consultative Committee for Space Data Systems Source Packets,NNPS,O,OTHER ,0
11,scientist,NNS,PERSON,PERSON,measure,VB,TV,FALSE,change in mechanical alignment,NN,O,TN ,1
11,scientist,NNS,PERSON,PERSON,measure,VB,TV,FALSE,change in alignment of XRT 's tube,NN,O,TN ,1
11,XRT,NNP,O,NON-PERSON,of,IN,OTHER,FALSE,tube,NN,O,TN ,0
11,change,NN,O,NON-PERSON,be in,IN,TV,FALSE,mechanical alignment of XRT 's tube,NN,O,TN ,0
11,scientist,NNS,PERSON,PERSON,measure,VB,TV,FALSE,change,NN,O,TN ,1
11,Telescope alignment,NN,O,NON-PERSON,monitor,VB,TV,FALSE,allow,VB,O,TV ,0
11,scientist,NNS,PERSON,PERSON,measure,VB,TV,FALSE,change in alignment,NN,O,TN ,1
11,scientist,NNS,PERSON,PERSON,measure,VB,TV,FALSE,change in mechanical alignment of XRT 's tube,NN,O,TN ,1
11,Telescope alignment,NN,O,NON-PERSON,allow,VB,TV,FALSE,scientist,NNS,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its own solar panel,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its solar panel for backup power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its own panel,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its solar panel for power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its panel for backup power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,shall,MD,OTHER,FALSE,shall power by spb,NN,ORGANIZATION,OTHER ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its own panel for power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its own panel for backup power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its panel,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its own solar panel for backup power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its solar panel,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its own solar panel for power,NN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,shall,MD,OTHER,FALSE,shall power,VBN,O,TN ,0
12,Sun Shutter,NNP,MISC,NON-PERSON,have,VBZ,TV,FALSE,its panel for power,NN,O,TN ,0
13,xrt,NN,O,NON-PERSON,shall monitor,VB,TV,FALSE,item,NNS,O,TN ,0
13,xrt,NN,O,NON-PERSON,shall monitor,VB,TV,FALSE,several item,NNS,O,TN ,0
13,xrt,NN,O,NON-PERSON,report,VBZ,TV,FALSE,they,PRP,O,OTHER ,0
14,number,NNS,O,NON-PERSON,be in,IN,TV,FALSE,parenthesis,NN,O,TN ,0
15,fsw,NN,ORGANIZATION,NON-PERSON,shall process science datum from,IN,OTHER,FALSE,camera,NN,O,TN ,0
15,relay,NN,PERSON,PERSON,be in,IN,TV,FALSE,form of CCSDS Source Packets,NNPS,O,TN ,1
15,fsw,NN,ORGANIZATION,NON-PERSON,shall process,VB,TV,FALSE,science datum,NNS,O,TN ,0
15,fsw,NN,ORGANIZATION,NON-PERSON,relay,NN,TV,FALSE,it,PRP,O,TN ,0
16,fsw,NN,ORGANIZATION,NON-PERSON,shall receive command from,IN,OTHER,FALSE,scu,NN,O,OTHER ,0
16,fsw,NN,ORGANIZATION,NON-PERSON,shall receive,VB,TV,FALSE,command,NNS,O,TN ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit,VB,TV,FALSE,housekeeping datum,NNS,O,TN ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit datum to,TO,OTHER,FALSE,scu,NN,ORGANIZATION,OTHER ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit,VB,TV,FALSE,detailed housekeeping datum,NNS,O,TN ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit datum in,IN,OTHER,FALSE,form,NN,O,TN ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit,VB,TV,FALSE,datum,NNS,O,TN ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit,VB,TV,FALSE,detailed datum,NNS,O,TN ,0
17,fsw,NN,ORGANIZATION,NON-PERSON,shall transmit datum in,IN,OTHER,FALSE,form of CCSDS Source Packets,NNPS,O,TN ,0
